category,question,option1,option2,option3,option4,correct_answer
Space Travel,What is the proposed propulsion system using matter-antimatter reactions?,Fusion drive,Antimatter drive,Ion drive,Warp drive,2
Colonization,Which planet is considered the most viable for human colonization?,Venus,Mars,Jupiter,Titan,2
Technology,What is a Dyson Sphere designed to do?,Capture star energy,Create black holes,Generate gravity,Terraform planets,1
Exploration,What is the name of the theoretical faster-than-light travel concept?,Warp drive,Hyperdrive,Jump drive,Quantum leap,1
Habitats,What type of structure could provide artificial gravity through rotation?,O'Neill cylinder,Biodome,Space elevator,Lunar base,1
Resources,What valuable resource could be mined from asteroids?,Water ice,Diamonds,Platinum,All of these,4
Communication,What limits real-time communication across vast space distances?,Speed of light,Radiation,Gravity wells,Magnetic fields,1
Propulsion,Which propulsion system uses light for thrust?,Solar sail,Nuclear rocket,Chemical rocket,Electric drive,1
Defense,What theoretical weapon could redirect asteroids?,Laser array,Gravity tractor,Nuclear warhead,All of these,4
Biology,What is the study of potential alien life forms called?,Astrobiology,Xenobiology,Exobiology,Cosmobiology,1
Engineering,What megastructure could connect Earth to space?,Space elevator,Orbital ring,Launch loop,All of these,4
Physics,What phenomenon allows theoretical time travel near massive objects?,Time dilation,Quantum tunneling,Wormholes,Hawking radiation,1
Colonization,What process would make Mars atmosphere breathable?,Terraforming,Geoengineering,Atmospheric seeding,Bioremediation,1
Exploration,What type of probe uses gravitational assists to gain speed?,Slingshot probe,Ion probe,Solar probe,Quantum probe,1
Energy,What is the theoretical energy source from a black hole?,Hawking radiation,Penrose process,Fusion energy,Dark energy,2
Medicine,What major health risk do astronauts face in deep space?,Cosmic radiation,Zero gravity,Isolation,All of these,4
Robotics,What are self-replicating space probes called?,Von Neumann probes,Borg probes,Genesis probes,Phoenix probes,1
Astronomy,What is a megastructure built around multiple stars called?,Dyson Swarm,Stellar Engine,Kardashev Array,Matrioshka Brain,1
Transportation,What is a proposed method for interstellar travel using laser propulsion?,Breakthrough Starshot,Project Orion,Project Daedalus,VASIMR,1
Habitats,What is a proposed floating city in Venus atmosphere called?,Cloud colony,Aerial habitat,Sky city,All of these,4
